user_name,screen_name,days,first_msg,no_of_msg,bot
2tiny20lainey,Lainey Baker,0.002104759409472,,0,1
venom220795,Varun Singh,0.190259489348089,,0,0
Eden2210,Eden Love,0.209465695208421,,0,1
jennifer2234567,Jennifer Lopez,1.01898557326032,,0,1
jacky4335,Jack Zoe,0.040196991916056,knVf,2,1
karenandrew7,Karen Andrew,0.003740210524864,,0,1
rogerdemboski,Roger Demboski,1.81777803922141,,0,1
1999fwillowangelic,Willow Williamson,0.001906937454586,,0,1
n8doglan,Nate Donlan,0.004357512946482,,0,1
tjdavid27,Travis J David,0.031236242464295,,0,1
stusgirl12,Kay Robinette,0.811539948648877,Hi I m Michelle I m 42 yr old white single female and bi-sexual looking for fun and crazy girls,1,0
ryota.xx,Akito Ryota,0.014912200241729,,0,1
seven523brynlee,Brynlee Collier,0.002512857640783,lmao,1,1
bixch...itsme,Elizabeth G,1.17444599417073,,0,1
eumoura13,Euler Moura,0.015364981939395,Hello,1,1
williamtony08,Mark Tony,0.011236522313621,,0,1
mohd_1434,Mohd Abdul,0.135723771673662,,0,1
bria423missie,Bria Hill,0.003194605763312,,0,1
live2012kaia,Kai Dunn,0.001518866038985,,0,1
64amiahug8,Amia Williams,0.002152289328752,,0,1
esienna2016harper,Harper Vega,0.001654891901546,,0,1
suciesandra,Sandra Williams ,0.034478660010629,,0,1
Vaato99,Vaato Tt,0.023308093939666,,0,1
playboystarxo,Playboyx .,3.01417753364477,fuck you rage,1,1
ruth28turkey5,Ruth Robertson,0.00374044465246,,0,1
Jugozador,Julio Sokanelas,1.96586596464117,,0,1
starvienna533,Vienna Webster,0.002430434629873,,0,1
miasophia800,Mia Sophia,0.085395582781898,,0,1
brannndinnnn54554,bran 💯🖕🏻,0.005286418740396,hey,1,0
abdou1220,Abdou Abdou,3.32857935168125,Hi im 19 m from algeria,2,1
749chickyalina,Alina Kennedy,0.003458314877417,,0,1
austin.shofner,Austin Smith,4.85885984044936,rtdx,1,0
ellenperry1,Ellen Perry,0.014074557625033,,0,1
ktickle2017helen,Helen Chambers,0.006456287900607,,0,1
Cr0wn.R0yal,C R,1.93356518460369,Vewz,2,0
mia.allisonn,Mia Allison,0.009493893878879,,0,1
iam_gaby13,Gabriel Traitel,1.07811646553653,fkmv,2,0
andrewmc514,Andrew Mcmahon,0.00460332683667,Mbhp,1,0
770760442,خالد الماجد,0.124369862129291,Hello,1,1
UbikWintermute,Tyler East,0.004251094110034,dfmf,2,0
pickle994skye,Skye Clark,0.002472537482778,,0,1
maiaclumzie326,Maia Mcbride,0.002596009114274,,0,1
khakiv2018lena,Lena Saunders,0.002786824292055,,0,1
alexis247secret,Alexis Johnson,0.003718991516917,,0,1
2tinsley57fruity,Tinsley Reeves,0.006743788514976,,0,1
m10sh31,m_10sh_31 m_10sh_31,3.98302480049707,,0,0
3raquelwarm82,Raquel Schultz,0.001727637687215,:D,1,1
Brick.0,Brick Is Back,3.33319723639775,Wpeb,1,0
serega224,Sergey Y,1.10339318039793,,0,1
mambontiana2013,Tiana Moreno,0.0041887700061,,0,1
Username unavailable,Hungry James,0.000319696052207,,0,1
13jazminediva9,Jazmine Stanley,0.000981336898274,,0,1
Francesco.pt87,Francesco Lardaro,1.4141436483849,Ptxp,2,0
sleepy14thea6,Thea Mccormick,0.01171666951919,,0,1
